year,position,team,points,games,victories,draws,losses,goals_scored,goals_against,goals_difference,perc_points_won
2003,0,Botafogo,0,0,0,0,0,0,0,0,0
2003,8,Flamengo,66,46,18,12,16,66,73,–7,47
2003,19,Fluminense,52,46,13,11,22,52,77,–25,37
2003,17,Vasco da Gama,54,46,13,15,18,57,69,–12,39
2004,20,Botafogo,51,46,11,18,17,62,71,-9,37
2004,17,Flamengo,54,46,13,15,18,51,53,-2,39
2004,9,Fluminense,67,46,18,13,15,65,68,-3,48
2004,16,Vasco da Gama,54,46,14,12,20,64,68,-4,39
2005,9,Botafogo,59,42,17,8,17,57,56,1,47
2005,15,Flamengo,55,42,14,13,15,56,60,–4,44
2005,5,Fluminense,68,42,19,11,12,79,70,9,54
2005,12,Vasco da Gama,56,42,15,11,16,74,84,–10,44
2006,12,Botafogo,51,38,13,12,13,52,50,2,45
2006,11,Flamengo,52,38,15,7,16,44,48,4,46
2006,15,Fluminense,45,38,11,12,15,48,58,-10,39
2006,6,Vasco da Gama,59,38,15,14,9,57,50,7,52
2007,9,Botafogo,55,38,14,13,11,62,58,4,48
2007,3,Flamengo,61,38,17,10,11,55,49,6,54
2007,4,Fluminense,61,38,16,13,9,57,39,18,54
2007,10,Vasco da Gama,54,38,15,9,14,58,47,11,47
2008,7,Botafogo,53,38,15,8,15,51,44,7,46
2008,5,Flamengo,64,38,18,10,10,67,48,19,56
2008,14,Fluminense,45,38,11,12,15,49,48,1,39
2008,18,Vasco da Gama,40,38,11,7,20,56,72,–16,35
2009,15,Botafogo,47,38,11,14,13,52,58,-6,41
2009,1,Flamengo,67,38,19,10,9,58,44,14,59
2009,16,Fluminense,46,38,11,13,14,49,56,-7,40
2009,0,Vasco da Gama,0,0,0,0,0,0,0,0,0
2010,6,Botafogo,59,38,14,17,7,54,42,12,52
2010,14,Flamengo,44,38,9,17,12,41,44,-3,39
2010,1,Fluminense,71,38,20,11,7,62,36,26,62
2010,11,Vasco da Gama,49,38,11,16,11,43,45,-2,43
2011,9,Botafogo,56,38,16,8,14,52,49,3,49
2011,4,Flamengo,61,38,15,16,7,59,47,12,53
2011,3,Fluminense,63,38,20,3,15,60,51,9,55
2011,2,Vasco da Gama,69,38,19,12,7,57,40,17,60
2012,7,Botafogo,55,38,15,10,13,60,50,10,48
2012,11,Flamengo,50,38,12,14,12,39,46,–7,44
2012,1,Fluminense,77,38,22,11,5,61,33,28,67
2012,5,Vasco da Gama,58,38,16,10,12,45,44,1,51
2013,4,Botafogo,61,38,17,10,11,55,41,14,53
2013,16,Flamengo,45,38,12,13,13,43,46,–3,43
2013,15,Fluminense,46,38,12,10,16,43,47,–4,40
2013,18,Vasco da Gama,44,38,11,11,16,50,61,–11,38
2014,19,Botafogo,34,38,9,7,22,31,48,–17,30
2014,6,Fluminense,61,38,17,10,11,61,42,19,53
2014,10,Flamengo,52,38,14,10,14,46,47,–1,45
2014,0,Vasco da Gama,0,0,0,0,0,0,0,0,0
2015,0,Botafogo,0,0,0,0,0,0,0,0,0
2015,12,Flamengo,49,38,15,4,19,45,53,–8,43
2015,13,Fluminense,47,38,14,5,19,40,49,–9,41
2015,18,Vasco da Gama,41,38,10,11,17,28,54,–26,36
2016,5,Botafogo,59,38,17,8,13,43,39,4,52
2016,3,Flamengo,71,38,20,11,7,52,35,17,62
2016,13,Fluminense,50,38,13,11,14,45,45,0,44
2016,0,Vasco da Gama,0,0,0,0,0,0,0,0,0
2017,10,Botafogo,53,38,14,11,13,45,42,3,46
2017,6,Flamengo,56,38,15,11,12,49,38,11,49
2017,14,Fluminense,47,38,11,14,13,50,53,–3,41
2017,7,Vasco da Gama,56,38,15,11,12,40,47,–7,49
2018,9,Botafogo,51,38,13,12,13,38,46,–8,45
2018,2,Flamengo,72,38,21,9,8,59,29,30,63
2018,12,Fluminense,45,38,12,9,17,32,46,–14,39
2018,16,Vasco da Gama,43,38,10,13,15,41,48,–7,38
2019,15,Botafogo,43,38,13,4,21,31,45,–14,37
2019,1,Flamengo,90,38,28,6,4,86,33,53,81
2019,12,Vasco da Gama,49,38,12,13,13,39,45,–6,43
2019,14,Fluminense,46,38,12,10,16,38,46,–8,40
